,BedroomAbvGr,HeatingQC,CentralAir,HouseStyle,2ndFlrSF,1stFlrSF,KitchenAbvGr,KitchenQual,GarageCars,GarageArea,OverallCond,Street,dist_to_ISU,Latitude,Longitude,TotalFullBath,TotalHalfBath
16,3,Ex,Y,1,0,1274,1,Gd,2.0,508.0,5,Pave,3525.91851722867,42.02481975,-93.68911131,3.0,0.0
17,2,TA,N,1,0,864,1,TA,0.0,0.0,3,Pave,1002.7111288250107,42.02208248,-93.65692684,2.0,0.0
18,3,Gd,Y,1,0,1610,1,Gd,2.0,480.0,7,Pave,1998.4494671180455,42.04331646,-93.6372792,3.0,0.0
19,2,Ex,Y,2,0,1091,1,TA,1.0,429.0,5,Pave,5483.675235235039,41.98752774,-93.6061806,1.0,1.0
20,3,Ex,Y,1,0,1486,1,Gd,2.0,566.0,5,Pave,3872.0731223023517,42.03717084,-93.69121205,2.0,0.0
21,2,Ex,Y,1,0,789,1,TA,1.0,250.0,5,Pave,3201.9431382000694,42.03351833,-93.60883555,1.0,0.0
22,3,Ex,Y,2,546,546,1,TA,0.0,0.0,9,Pave,5255.520383770061,41.99215551,-93.60308639,2.0,1.0
23,4,TA,N,2,1320,1320,1,Gd,4.0,864.0,7,Pave,2841.195556615202,42.02935814,-93.61228857,1.0,1.0
24,3,TA,Y,2,567,525,1,TA,1.0,320.0,5,Pave,3185.6031009568287,42.0516763,-93.62760442,1.0,1.0
25,3,Ex,Y,2,850,608,1,Gd,2.0,454.0,5,Pave,3924.8180739324926,42.06198897,-93.64550296,2.0,0.0
26,3,Ex,Y,1,0,1466,1,Gd,3.0,610.0,5,Pave,3546.99879403276,41.99493121,-93.650374,2.0,0.0
27,3,Ex,Y,2,804,769,1,Gd,2.0,440.0,5,Pave,2163.6587874956385,42.04615074,-93.64577214,2.0,1.0
28,3,Ex,Y,2,983,1107,1,TA,2.0,484.0,6,Pave,2734.336008113685,42.0490342,-93.63264579,3.0,1.0
29,2,Ex,Y,1,0,2046,1,Ex,3.0,878.0,5,Pave,3952.8580549717876,42.06129118,-93.65753649,3.0,1.0
30,2,Gd,Y,1,0,886,1,TA,1.0,273.0,8,Pave,3017.0438150626064,42.03109366,-93.61045454,1.0,0.0
31,3,Ex,Y,1,0,1258,1,Gd,2.0,462.0,6,Pave,4065.498038519161,42.06322649,-93.64433362,2.0,0.0
32,3,Ex,Y,1,0,1324,1,Gd,2.0,430.0,5,Pave,3916.308883080503,42.0618882,-93.64447839,2.0,0.0
33,4,Gd,Y,1,795,1053,1,Gd,2.0,370.0,7,Pave,1610.8701866137708,42.02954373,-93.62737676,1.0,1.0
34,3,TA,Y,1,0,1269,1,TA,1.0,308.0,6,Pave,3486.5472008255847,42.03727378,-93.60675881,1.0,1.0
35,3,Ex,Y,1,0,1346,1,Gd,3.0,660.0,5,Pave,3506.1685153960357,41.99523382,-93.64923498,3.0,0.0
36,3,Ex,Y,2,893,856,1,Gd,2.0,515.0,5,Pave,3955.9669605071836,42.01733554,-93.6927012,2.0,1.0
37,1,TA,Y,1,0,492,1,TA,1.0,200.0,5,Pave,3056.1411595638688,42.03195016,-93.6101802,2.0,0.0
38,4,TA,Y,2,912,1118,1,Gd,2.0,551.0,6,Pave,3328.931439255494,42.05450582,-93.63156011,2.0,1.0
39,3,TA,Y,1,0,988,1,TA,1.0,360.0,6,Pave,3017.279333939281,42.04885116,-93.62539763,2.0,0.0
40,4,Ex,Y,2,639,1533,1,Ex,3.0,687.0,5,Pave,3256.3285391765144,42.05578479,-93.6511015,2.0,1.0
41,3,TA,Y,1,0,1080,1,TA,2.0,484.0,5,Pave,4845.689023020439,41.99419902,-93.60742949,1.0,1.0
42,3,Ex,Y,1,0,1312,1,TA,2.0,495.0,7,Pave,3776.2349945758638,42.04129604,-93.60521567,1.0,1.0
43,2,Gd,Y,1,0,925,1,TA,2.0,484.0,6,Pave,2382.70732291644,42.03586157,-93.672579,2.0,0.0
44,3,Ex,Y,2,783,751,1,Gd,0.0,0.0,9,Pave,2884.888200453077,42.0359468,-93.6138649,1.0,1.0
45,4,Ex,Y,2,1218,1158,1,Gd,3.0,853.0,5,Pave,3862.496114149615,42.06042873,-93.65768376,3.0,1.0
46,4,Ex,Y,2,1112,847,1,Gd,2.0,434.0,5,Pave,3677.750766400828,42.05971268,-93.64377151,2.0,1.0
47,3,Gd,Y,1,568,1148,1,TA,1.0,281.0,4,Pave,1190.0999545493064,42.02486103,-93.66069364,1.0,1.0
48,2,TA,Y,1,0,936,1,TA,0.0,0.0,7,Pave,2235.2367073114438,42.03146247,-93.62020822,2.0,0.0
49,2,Gd,Y,2,548,682,1,TA,2.0,440.0,6,Pave,2657.0501499128986,42.03339249,-93.61561782,1.0,1.0
51,2,Ex,Y,1,0,1565,1,Gd,2.0,476.0,5,Pave,2308.0746823948643,42.04744045,-93.64761629,3.0,0.0
52,3,Ex,Y,2,728,1140,1,TA,2.0,477.0,7,Pave,3278.0611033334803,42.05547019,-93.63783989,3.0,1.0
53,3,Ex,Y,1,0,1422,1,Gd,2.0,626.0,5,Pave,3483.7898720295034,42.01355127,-93.68477897,2.0,0.0
54,3,TA,Y,1,0,1200,1,TA,0.0,0.0,5,Pave,1023.0223751641633,42.02811889,-93.65873733,6.0,0.0
55,4,TA,Y,1,640,1001,1,TA,2.0,490.0,4,Pave,1452.1136818146776,42.03461222,-93.660487,2.0,0.0
56,3,Gd,Y,1,0,1973,1,Gd,3.0,895.0,5,Pave,4034.2840331974835,42.06226109,-93.65618537,2.0,0.0
57,3,Ex,Y,1,0,1248,1,TA,1.0,286.0,7,Pave,2509.569704167865,42.04013451,-93.62208412,2.0,0.0
58,3,Ex,Y,2,1093,1325,1,Gd,3.0,983.0,5,Pave,2661.5541313495246,42.049582,-93.655958,3.0,1.0
59,3,Ex,Y,2,780,975,1,Gd,2.0,524.0,8,Pave,2311.59559036931,42.04729657,-93.65029643,2.0,2.0
60,2,TA,N,1,0,672,1,TA,0.0,0.0,4,Pave,1654.3911917635621,42.020318,-93.628408,1.0,0.0
61,3,Ex,Y,1,638,988,1,Gd,1.0,332.0,6,Pave,1741.312391081089,42.02454662,-93.66738084,1.0,1.0
62,2,Ex,Y,1,0,1726,1,Gd,2.0,561.0,5,Pave,2306.565787834545,42.04742736,-93.64759965,2.0,1.0
63,4,Ex,Y,2,898,1850,1,Ex,3.0,850.0,5,Pave,3859.6362591911675,42.06042782,-93.65754306,3.0,1.0
64,3,TA,Y,1,0,894,1,TA,1.0,308.0,6,Pave,3472.0072941486574,42.02139012,-93.68792039,2.0,0.0
65,1,Ex,Y,1,0,2470,1,Ex,3.0,789.0,5,Pave,3634.353563054696,42.05847505,-93.65680996,3.0,1.0
66,3,Ex,Y,1,0,1174,1,TA,2.0,528.0,6,Pave,3401.265938553064,42.01967954,-93.68657648,2.0,0.0
68,4,Ex,Y,1,748,1699,1,Gd,1.0,336.0,7,Pave,847.4426876781229,42.01908435,-93.64689269,2.0,0.0
69,3,Ex,Y,2,1017,1182,1,Gd,2.0,516.0,5,Pave,3103.2416200027114,42.05392143,-93.65478467,2.0,1.0
70,3,Ex,Y,2,630,744,1,Gd,2.0,400.0,5,Pave,3721.1972595954603,42.06011711,-93.64407676,3.0,1.0
71,3,Ex,Y,1,0,1335,1,Gd,2.0,575.0,5,Pave,2723.800792043899,42.05118982,-93.64722441,2.0,0.0
72,3,Ex,Y,1,0,1588,1,Gd,2.0,472.0,5,Pave,3787.5376164456957,42.01751132,-93.69065123,2.0,0.0
73,2,Ex,Y,1,0,1652,1,Gd,2.0,482.0,5,Pave,3197.2248207414495,42.00941067,-93.61557582,3.0,1.0
74,3,Ex,Y,2,1134,887,1,Gd,2.0,422.0,5,Pave,4126.530221156174,42.0629917,-93.63605879,2.0,1.0
75,3,Ex,Y,2,796,616,1,Gd,2.0,432.0,5,Pave,3953.187724805837,42.06221313,-93.64426568,2.0,1.0
77,3,Ex,Y,2,875,815,1,TA,1.0,225.0,6,Pave,2581.077450594455,42.02806731,-93.61530573,1.0,0.0
78,3,TA,Y,2,567,525,1,TA,1.0,264.0,5,Pave,3193.255346270871,42.05168395,-93.62743413,1.0,1.0
80,3,TA,Y,2,0,1210,1,TA,2.0,528.0,6,Pave,5081.682092428401,41.9957645,-93.601227,3.0,0.0
81,3,Gd,Y,1,0,1256,1,Gd,1.0,311.0,6,Pave,3539.917191764801,42.03713342,-93.60600708,2.0,1.0
82,2,Ex,Y,1,0,1130,1,TA,2.0,720.0,6,Pave,2883.1491702066082,42.03590353,-93.61386527,2.0,0.0
83,2,TA,Y,2,0,858,1,TA,2.0,576.0,5,Pave,2119.9752633438043,42.03087977,-93.67154223,2.0,0.0
84,1,TA,Y,1,0,1188,1,TA,2.0,621.0,8,Pave,1685.6109022898818,42.0325589,-93.66532216,2.0,0.0
85,4,Ex,Y,1,587,825,1,TA,1.0,280.0,6,Pave,2044.0235498804293,42.03345547,-93.62348414,1.0,0.0
86,3,Fa,Y,2,0,1040,1,TA,2.0,616.0,6,Pave,2233.7998804374993,42.03134108,-93.67281319,2.0,0.0
87,3,Ex,Y,1,624,752,1,Gd,2.0,576.0,7,Pave,1737.3696303827912,42.02701344,-93.62547046,1.0,0.0
88,2,TA,Y,1,0,1301,1,Fa,2.0,440.0,5,Pave,1875.8889474665502,42.03150042,-93.62472728,1.0,0.0
89,3,Gd,Y,2,701,928,1,TA,2.0,482.0,5,Pave,3849.57541511361,42.06086625,-93.63897658,2.0,1.0
90,3,Ex,Y,2,887,874,1,Gd,2.0,578.0,6,Pave,2837.7532196758416,42.05213299,-93.64365632,3.0,0.0
91,2,TA,Y,1,0,936,1,TA,1.0,288.0,6,Pave,3585.795180228194,42.05536916,-93.62661906,1.0,0.0
92,2,Ex,Y,2,644,672,1,TA,1.0,369.0,6,Pave,989.3234121879558,42.01780282,-93.64647512,2.0,0.0
93,4,TA,N,1,0,1440,2,Fa,0.0,0.0,4,Pave,1709.3954390124231,42.0203107,-93.665322,2.0,0.0
94,2,Ex,Y,2,756,768,1,Gd,2.0,440.0,5,Pave,2163.6274541425714,42.04615068,-93.64578297,2.0,1.0
95,3,Ex,Y,2,0,1370,1,TA,1.0,300.0,6,Pave,3064.1810816782886,42.04222355,-93.61584552,2.0,0.0
96,3,Gd,Y,1,0,925,1,TA,1.0,300.0,6,Pave,3404.369727956437,42.0346829,-93.60670769,1.0,0.0
97,1,TA,Y,2,0,630,1,Gd,1.0,286.0,8,Pave,5239.056638482458,41.99233262,-93.60312325,2.0,0.0
98,3,Gd,Y,2,0,1431,1,TA,1.0,296.0,5,Pave,3398.5333098113224,42.04699232,-93.61572735,1.0,1.0
99,1,TA,Y,1,0,1226,1,Gd,2.0,484.0,5,Pave,1826.4997029787064,42.04299352,-93.64930426,2.0,0.0
100,3,Ex,Y,1,0,1417,1,Gd,2.0,511.0,5,Pave,3036.7842797139724,42.018014,-93.68135386,3.0,0.0
101,3,Gd,Y,1,0,1689,1,TA,2.0,432.0,5,Pave,4975.5270887061215,41.996073,-93.602595,3.0,0.0
102,2,TA,Y,1,0,928,1,TA,1.0,252.0,7,Pave,3125.766642452811,42.03860857,-93.61221769,1.0,0.0
103,2,Ex,Y,1,0,2490,1,Ex,3.0,795.0,5,Pave,2965.766002498745,42.05310116,-93.64139717,3.0,0.0
104,3,Ex,Y,2,874,1079,1,Gd,2.0,501.0,5,Pave,2697.539406525134,42.027877,-93.67912,3.0,1.0
105,2,TA,Y,1,0,958,1,TA,1.0,301.0,8,Pave,2551.699864405327,42.04216256,-93.62367056,1.0,0.0
106,1,TA,Y,2,0,630,1,TA,0.0,0.0,6,Pave,5251.160390227523,41.99253553,-93.60262135,2.0,0.0
107,1,Ex,Y,2,0,630,1,TA,0.0,0.0,6,Pave,5233.284300726095,41.99221233,-93.60339917,2.0,0.0
108,2,Ex,Y,1,0,2290,1,Ex,3.0,1174.0,5,Pave,3857.7467054520507,42.0604272,-93.65744927,4.0,1.0
110,3,Gd,N,1,499,725,1,Po,1.0,180.0,3,Pave,1030.101325576273,42.02828956,-93.65878627,1.0,1.0
111,3,Ex,Y,2,756,983,1,Gd,2.0,480.0,5,Pave,2307.6334250757213,42.04715891,-93.64181225,3.0,1.0
112,3,TA,Y,2,767,1277,1,TA,2.0,489.0,6,Pave,3012.706303229749,42.0525554,-93.63559618,2.0,1.0
113,3,Ex,Y,1,0,1726,1,Ex,3.0,786.0,5,Pave,3060.822899696146,42.0541491,-93.64371993,3.0,0.0
114,4,Gd,Y,2,778,1012,1,TA,2.0,484.0,5,Pave,2737.836193442919,42.04817947,-93.630294,2.0,2.0
115,3,Gd,Y,1,0,1056,1,TA,1.0,300.0,6,Pave,3071.2145684915617,42.038378,-93.61280176,2.0,1.0
116,3,Ex,Y,2,978,1576,1,TA,2.0,704.0,8,Pave,3127.4089649990697,42.02619204,-93.60864389,1.0,1.0
117,2,Ex,Y,1,0,1312,1,Gd,2.0,471.0,5,Pave,3298.557839028336,41.99703641,-93.64683645,2.0,0.0
118,2,Ex,Y,1,332,976,1,TA,1.0,256.0,7,Pave,955.9530102617231,42.0186775,-93.64234021,2.0,1.0
119,3,Ex,Y,1,0,907,1,TA,1.0,352.0,6,Pave,2881.4232312565005,42.044865,-93.621618,1.0,0.0
120,3,Ex,Y,2,0,1034,1,TA,2.0,504.0,8,Pave,2240.1703568948224,42.03134157,-93.6728923,1.0,1.0
121,3,Gd,Y,1,0,1040,1,TA,2.0,648.0,5,Pave,5050.7072792984945,41.99297999,-93.60554289,2.0,0.0
122,3,Ex,Y,2,754,831,1,Gd,2.0,449.0,5,Pave,3871.06175080585,42.03713731,-93.69121341,2.0,1.0
123,3,TA,Y,2,582,773,1,Gd,0.0,0.0,7,Pave,1603.5443849269097,42.02510549,-93.62720573,1.0,1.0
124,3,Ex,Y,1,0,2276,1,Ex,3.0,1348.0,5,Pave,3327.8289347400696,42.02721361,-93.68678308,3.0,0.0
125,3,Gd,Y,1,0,1154,1,Ex,1.0,336.0,9,Pave,2904.5219044924706,42.04123332,-93.617278,1.0,1.0
126,2,Ex,Y,1,0,808,1,TA,1.0,308.0,8,Pave,1814.636628981078,42.03602586,-93.62847009,1.0,0.0
127,2,TA,N,1,378,671,1,TA,1.0,195.0,7,Pave,2520.207539173357,42.02147666,-93.61681127,1.0,0.0
128,3,Gd,Y,1,0,1105,1,TA,1.0,308.0,6,Pave,3370.112087996011,42.0384825,-93.60890513,1.0,0.0
129,3,Ex,Y,1,0,1679,1,Gd,2.0,575.0,5,Pave,3667.915018363305,42.03586989,-93.68915891,3.0,0.0
130,3,Ex,Y,1,0,1440,1,Gd,2.0,467.0,5,Pave,3467.662690660976,41.99551603,-93.64690749,3.0,0.0
131,3,Ex,Y,1,0,1298,1,TA,2.0,504.0,3,Pave,1402.2879207152182,42.02508273,-93.66333661,2.0,0.0
132,4,Gd,Y,1,0,2279,1,Gd,2.0,461.0,8,Pave,2899.6388442038497,42.00072925,-93.64966626,2.0,1.0
133,3,Ex,Y,1,620,984,1,TA,2.0,660.0,5,Pave,928.2194299051619,42.0220834,-93.65586234,2.0,0.0
134,3,Ex,Y,2,940,992,1,Gd,2.0,610.0,5,Pave,3591.8076651253064,42.01694547,-93.68795145,3.0,1.0
135,3,Ex,Y,2,834,827,1,Gd,2.0,550.0,6,Pave,3698.267036247023,42.020881,-93.690581,3.0,1.0
136,2,TA,N,2,810,1017,1,TA,1.0,240.0,7,Pave,1644.4619736420634,42.03141326,-93.62762852,1.0,0.0
137,3,Ex,Y,2,754,738,1,Gd,2.0,440.0,5,Pave,3892.2944270211365,42.06165535,-93.64400952,2.0,1.0
138,2,TA,Y,1,0,1277,1,TA,2.0,526.0,5,Pave,3596.847104316173,42.0514547,-93.61846427,2.0,0.0
139,3,Gd,Y,1,0,1052,1,TA,1.0,288.0,5,Pave,2682.870263869689,42.04574051,-93.62654776,2.0,1.0
140,2,TA,Y,1,0,1220,1,TA,2.0,396.0,5,Pave,2568.3437222380408,42.02034341,-93.67639186,1.0,0.0
141,3,Ex,Y,1,0,1226,1,Gd,3.0,740.0,5,Pave,3770.0444089984962,42.02461338,-93.69205533,2.0,0.0
142,4,Ex,Y,1,0,1712,2,TA,2.0,588.0,5,Pave,2643.3406213446797,42.0422406,-93.62228029,2.0,0.0
143,3,Ex,Y,2,988,927,1,Gd,2.0,506.0,5,Pave,2967.930983771708,42.0297174,-93.6822022,3.0,1.0
144,2,TA,Y,1,0,882,1,TA,2.0,525.0,5,Pave,3382.8994031671514,42.05351428,-93.627148,2.0,0.0
145,3,Ex,Y,2,941,920,1,Gd,2.0,492.0,5,Pave,3709.6965740737432,42.016892,-93.689424,3.0,1.0
146,2,Ex,Y,1,0,1659,1,Ex,2.0,499.0,5,Pave,4077.5575929992992,42.0622143,-93.63419895,3.0,0.0
147,3,TA,Y,1,0,1387,1,TA,1.0,300.0,7,Pave,2860.230459259894,42.04895501,-93.62913308,2.0,0.0
148,3,Ex,Y,1,0,1978,1,Gd,3.0,850.0,5,Pave,3536.960154610325,42.01855821,-93.68789159,3.0,1.0
149,2,Gd,Y,1,539,759,1,TA,1.0,240.0,7,Pave,981.2752722418245,42.01788108,-93.64693433,2.0,0.0
150,1,Ex,Y,1,272,448,1,Fa,1.0,280.0,8,Pave,3061.9601575783136,42.03715912,-93.61220516,1.0,0.0
151,2,Ex,Y,1,0,1358,1,Gd,2.0,484.0,5,Pave,3625.913067755945,42.05923778,-93.6493927,2.0,0.0
152,2,Ex,Y,1,0,1624,1,Gd,3.0,757.0,5,Pave,2388.9232675417825,42.047999,-93.650289,3.0,0.0
153,1,Ex,Y,1,0,1239,1,Gd,2.0,477.0,5,Pave,2019.7938657013426,42.04482523,-93.64810611,2.0,1.0
154,2,Ex,Y,2,0,1072,1,TA,2.0,525.0,5,Pave,2131.8320198799806,42.0189624,-93.67011258,2.0,0.0
155,2,Ex,Y,1,0,884,1,TA,1.0,240.0,7,Pave,1987.6821071194602,42.0323832,-93.6236834,1.0,0.0
156,3,TA,Y,2,714,684,1,TA,2.0,440.0,7,Pave,2523.644498081622,42.01879498,-93.67513791,1.0,1.0
157,2,Gd,Y,2,0,941,1,Gd,2.0,564.0,7,Pave,3734.009530853279,42.03797473,-93.60391406,2.0,0.0
158,1,Ex,Y,1,0,1288,1,Ex,2.0,500.0,5,Pave,2010.2815895679291,42.04474817,-93.64791855,2.0,1.0
159,2,Ex,Y,1,0,1005,1,TA,1.0,319.0,5,Pave,3075.1041100437596,42.038378,-93.6127498,1.0,0.0
160,3,Ex,Y,1,0,1696,1,TA,2.0,625.0,5,Pave,1740.6072165097864,42.01119538,-93.64359939,2.0,0.0
161,3,Ex,Y,1,0,1541,1,Gd,3.0,843.0,5,Pave,3641.858093259851,42.01690497,-93.68856952,2.0,0.0
162,4,Ex,Y,2,823,1402,1,Gd,3.0,713.0,5,Pave,2174.778290552062,42.04577395,-93.6523238,3.0,1.0
163,3,Ex,Y,2,0,1280,1,TA,2.0,432.0,6,Pave,3466.5959720893247,42.04888005,-93.61700179,2.0,1.0
164,4,TA,Y,2,918,964,2,TA,2.0,612.0,7,Pave,3247.5263198136386,42.03566381,-93.68392169,2.0,0.0
165,4,TA,Y,2,1330,1542,1,TA,2.0,619.0,7,Pave,3231.514477841898,42.0545474,-93.63530667,3.0,1.0
166,4,TA,N,1,336,1060,2,TA,0.0,0.0,6,Pave,2753.8947500734644,42.01910041,-93.61476989,2.0,0.0
167,2,TA,Y,1,524,608,1,TA,1.0,240.0,7,Pave,1971.1862943077788,42.03363192,-93.62453449,2.0,0.0
168,2,TA,N,1,0,899,1,TA,1.0,200.0,6,Pave,2692.0861602203045,42.03025391,-93.61426002,1.0,0.0
169,2,TA,Y,1,0,844,1,TA,1.0,216.0,7,Pave,2583.538511619621,42.03119248,-93.61581118,1.0,0.0
170,3,TA,Y,1,0,1313,1,Gd,2.0,528.0,5,Pave,2823.487008672867,42.03476543,-93.6140852,2.0,0.0
171,3,Gd,Y,1,358,796,1,Gd,1.0,240.0,8,Pave,1805.5358013726816,42.02266911,-93.62532593,2.0,0.0
172,2,Gd,Y,1,0,864,1,TA,1.0,294.0,5,Pave,3652.604960260857,42.03487444,-93.60366756,1.0,0.0
174,2,TA,Y,1,0,1176,1,TA,1.0,360.0,4,Pave,2158.7929328528467,42.02101516,-93.67148908,2.0,0.0
175,3,Ex,Y,1,0,1460,1,Gd,2.0,480.0,5,Pave,2954.2394860257723,42.05319034,-93.64376477,2.0,0.0
176,3,Ex,Y,1,0,1626,1,Gd,2.0,534.0,5,Pave,2969.432263608909,42.03093014,-93.68199716,3.0,1.0
177,3,Ex,Y,1,0,1720,1,Gd,2.0,527.0,5,Pave,2855.257713099434,42.05171935,-93.65428032,3.0,0.0
178,3,TA,Y,1,0,1236,1,TA,1.0,288.0,7,Pave,2125.5907607518784,42.03458848,-93.6699419,1.0,0.0
179,3,Ex,Y,2,793,810,1,Gd,2.0,484.0,5,Pave,3530.0984757127567,42.03471223,-93.68785679,2.0,1.0
180,3,TA,Y,1,0,1411,1,TA,2.0,544.0,5,Pave,3298.8691683760417,42.05512946,-93.63508069,2.0,0.0
181,2,TA,Y,1,0,779,1,TA,1.0,308.0,6,Pave,1870.9402157514398,42.03348382,-93.62577067,1.0,0.0
182,3,Gd,Y,2,900,1190,1,Gd,2.0,577.0,5,Pave,3789.450863662614,42.05930061,-93.633129,3.0,0.0
183,3,TA,Y,1,0,897,1,TA,1.0,264.0,5,Pave,2475.2132620537764,42.03108468,-93.67588046,1.0,0.0
184,3,Ex,Y,1,0,1656,1,Gd,3.0,826.0,5,Pave,2856.5875077648466,42.05230299,-93.64365697,2.0,0.0
185,1,Ex,Y,1,0,1000,1,TA,2.0,575.0,6,Pave,1812.2851577351203,42.03214923,-93.66717892,2.0,0.0
186,5,TA,Y,1,875,1611,1,TA,2.0,576.0,5,Pave,1952.457908347803,42.02695466,-93.62286472,2.0,0.0
187,3,TA,Y,1,0,1098,1,TA,1.0,260.0,7,Pave,3003.9387457429234,42.04247938,-93.61697728,2.0,0.0
188,3,TA,Y,1,0,1040,1,TA,1.0,286.0,5,Pave,3449.5166580225546,42.03614684,-93.60671839,1.0,0.0
189,2,TA,Y,1,0,924,1,TA,1.0,420.0,5,Pave,2427.6724218719455,42.03456289,-93.61907957,1.0,0.0
190,3,Gd,Y,1,564,1024,1,TA,2.0,480.0,6,Pave,3321.806920130824,42.03473896,-93.60776506,1.0,1.0
191,2,TA,Y,1,0,930,1,TA,1.0,286.0,5,Pave,1915.3576771005726,42.01805245,-93.66655329,1.0,0.0
192,2,Gd,Y,1,0,1069,1,TA,2.0,440.0,5,Pave,3083.219473900679,42.050471,-93.627279,2.0,1.0
193,5,Ex,Y,2,878,1226,1,TA,2.0,432.0,6,Pave,2588.237954071081,42.02906931,-93.61532729,2.0,0.0
194,3,Ex,Y,1,0,1728,1,Gd,2.0,520.0,5,Pave,3789.954970940852,41.99298995,-93.6532753,3.0,0.0
195,2,Ex,Y,1,0,1663,1,Gd,2.0,529.0,6,Pave,1645.5112728059908,42.02864482,-93.66624914,2.0,0.0
196,2,Gd,Y,1,0,1137,1,Gd,2.0,551.0,6,Pave,3014.988427097799,41.99958723,-93.64609469,3.0,0.0
197,3,TA,Y,2,591,626,1,TA,1.0,288.0,6,Pave,3398.5337978316097,42.0346555,-93.68622907,1.0,1.0
198,4,Ex,Y,2,1189,1305,1,Gd,3.0,803.0,5,Pave,2809.4967627898354,42.051065,-93.655506,3.0,1.0
199,2,Ex,Y,2,840,840,1,Gd,2.0,588.0,5,Pave,2338.7250404310707,42.04772987,-93.64603879,2.0,1.0
200,3,TA,Y,2,0,1165,1,TA,2.0,490.0,7,Pave,1977.7919757618774,42.0392109,-93.6294784,2.0,1.0
201,2,Gd,Y,1,0,641,1,Fa,1.0,272.0,6,Pave,1549.981871552569,42.02086349,-93.62945982,1.0,0.0
202,3,Ex,Y,1,0,1310,1,Gd,2.0,400.0,5,Pave,3361.1310653199544,42.01452227,-93.68374009,2.0,0.0
203,3,TA,Y,1,659,991,1,TA,2.0,468.0,8,Pave,2306.505579851664,42.02795584,-93.6186269,2.0,0.0
204,2,Ex,Y,1,0,1590,1,Ex,3.0,754.0,5,Pave,3541.019211060034,42.02326648,-93.68911881,3.0,1.0
205,3,Fa,Y,1,504,866,1,TA,1.0,264.0,1,Pave,1906.0529548492639,42.02295798,-93.62398131,2.0,0.0
206,4,TA,Y,2,1200,1153,1,Ex,2.0,484.0,7,Pave,3086.4448530781847,42.0536142,-93.63735972,3.0,1.0
207,2,Gd,Y,1,0,1337,1,Gd,2.0,462.0,5,Pave,3898.7275680536027,42.06055688,-93.63422767,3.0,0.0
208,3,Ex,Y,1,0,1898,1,TA,2.0,484.0,5,Pave,1641.952149238923,42.01264838,-93.64039074,2.0,1.0
209,2,Fa,N,1,0,660,1,Fa,0.0,0.0,2,Pave,1255.8570489579681,42.032688,-93.659392,1.0,0.0
210,3,Ex,Y,2,917,872,1,TA,2.0,546.0,5,Pave,2227.7649548919044,42.0466108,-93.64350379,3.0,1.0
211,2,Ex,Y,2,600,520,1,Gd,2.0,480.0,5,Pave,2315.418092540217,42.04749027,-93.64492734,2.0,1.0
212,2,Ex,Y,1,0,1505,1,TA,2.0,505.0,4,Pave,1944.8131718536238,42.03475927,-93.62560212,2.0,0.0
213,5,TA,Y,1,541,1068,1,TA,1.0,305.0,5,Pave,1619.675586353857,42.0258098,-93.66607205,1.0,1.0
214,3,Ex,Y,1,0,2696,1,Ex,3.0,958.0,5,Pave,3500.1806016710757,42.0573559,-93.65612295,3.0,1.0
